BookID,Title,Author,Topic,UrlLink,Description,Thumbnail,Tags,HaveCount,WantCount,SellCount,AvgRating,RatingCount
42,An Illustrated Handbook of Machine Knitting,"Nabney, Janet",Both Japanese and Passap Machines,https://amzn.to/3kzaxlu,"Many people enjoy the speed and ease of machine knitting, but cannot fully explore the possibilities of the craft because they lack technical expertise. This book explains in detail how the knitting machine works and what it can do.",illustrated.jpg,Techniques,25,12,6,5.00,3
145,At Wits' End,Pat Havermann & Monica Wiederin,Stitch patterns,,Punch card and computer patterns - Probably close to 75 various patterns Table of Contents Punch Cards 3-19 Computer Fairisle  20 Computer Single Motif  21-6 Knitted Wall Clocks  27-38 Numbers  39 Letters  39,At Wits end.jpg," Fabric/Surface Design, charting, Patterns",6,4,7,0.00,0
151,"Babie, Bears, & Balloons","Christie, L. and Diana Sexton",Stitch patterns,,Baby's Burp Towel Baby Nightie Abay Coat/Sweater Baby Bonnet Raglan Sleeve Sweater with Duck Rompers Sideways pleated Skirt Footed Pants Gingham Bear Afghan (reversible) The Three Bears Afghan (reversible),Bears Babies and balloons.jpg,Patterns,7,3,7,0.00,0
91,Basic Course for the Passap,Amanda Van DernMerwe,Passap,,Basic course for using the Passap Duomatic techniques,image6.jpg,"Machine Manual, Techniques",9,5,9,0.00,0
193,Bible for Machine Knitting,Silver Knitting Institute,Techniques,,"Teaches all the basics for using a knitting machine: Examples:  casting on & off, increase, decrease, manual joining,  220 techniques. Illustrations are excellent & easy to understand.  No longer in print but a treasure to have if you can find one. The accompanying book is How to knit garments from children to lady’s & men. ",IMG_0513.jpeg,"General Reference, Techniques",8,4,6,5.00,1
24,"Blocking for Machine Knitters, Patricia Kay Hampton","Hampton, Pat",Both Japanese and Passap Machines,https://amzn.to/3w0dIrP,Chapters include: Fibers and Spinning; Yarn; Blocking Equipment; Fiber/Yarn Treatment Table; Blocking of Garments; Care of Garments; Dry Cleaning.,blocking.jpg,"Finishing, Techniques",4,8,4,0.00,0
44,Book of Linked Edgings and Finishing,"Palmer, Audrey",Both Japanese and Passap Machines,https://amzn.to/38PmQHS,,booK_of_linked_jpg.jpg," Fabric/Surface Design, Finishing",4,1,1,0.00,0
170,Brother Ribber Tehnique Book,,Ribber,https://www.knititnow.com/ManualAndDocuments/BEDC6DC3-5056-A02D-DF36-44AC3566FB71/brother-ribber-techniques-book,"Although out of print, the digital version of this classic is available for free. <br> This book includes 20 basic ribber pattern stitches, increasing and decreasing on the ribber, partial knitting and lots of tips and tricks.",brother_ribber_technique_book.png,"General Reference, Techniques, Ribber",8,2,3,0.00,0
93,Bulky Cardigan Collection,Sandra Dominiak,Japanese Machines,,"A simple way of making Drop shoulder v-neck cardigans on the bulky knitting Machine starting at children’s size 2 through adult. No charts, but detailed instructions.",image8.jpg,"Finishing, Patterns, Techniques",7,2,4,0.00,0
162,Cables,Bill King,Hand Manipulation,https://amzn.to/3TvzEYU,"Cables are a traditional knitwear favourite and feature increasingly in contemporary fashion collections. By simply crossing stitches over, in effect altering the order in which they are knitted, patterns from the simplest twist to the most intricate directional patterns can be produced on even the simplest knitting machine. Once a few basic techniques have been mastered, the number of cable designs available is virtually endless. With the learning of a few more advanced methods, different directions soon suggest themselves, giving scope for the knitter's own creativity to truly flourish",cables1.jpg," Fabric/Surface Design",12,3,3,5.00,1
8,Card 1,"Armitage, Kate","Fabric, Surface Design",https://www.metromachineknitting.co.uk/product-page/book-card-1-by-kate-armitage,This book is suitable for all punch cards and electronic machines,card1_1.jpg," Fabric/Surface Design",9,4,6,1.00,2
163,Card 3,"Armitage, Kate",Fabric/Surface Design,https://www.metromachineknitting.co.uk/product-page/book-card-3-by-kate-armitage,"This book is suitable for all punch cards and electronic machines. <br>    Table of content: Introduction, Punch card, Fairisle, Slip stitch, weaving, Tuck, Tuck Lace, Tucked ribs, Punch Tuck ribs, Punch Pintuck, Giant hairpin spines, Edgings and Lace Trims, Main bed braids, Ribbed braids, Plating, Punch lace, Lace, Electronics.",card3_1.jpg," Fabric/Surface Design",5,2,3,0.00,0
189,Cardigan Renaissance via the Garter Carriage,Sweet Norma," ",,,NULL,NULL,7,2,3,0.00,0
9,Casting On and Binding Off,"Bengelsdorf, Grace",Both Japanese and Passap Machines,,,needs_image11.jpg,Techniques,6,2,4,0.00,0
54,"Chart-Rite, ","Sweet, Norma",Both Japanese and Passap Machines,https://amzn.to/3OUDk1L,,chart_rite_jpg.jpg,charting,9,2,3,0.00,0
152,Christmas Keepsakes,"Overmann, Glenda",Stitch patterns,,32 holiday patterns with construction instructions and punch designs.  Black and white photos of each item.,Christmas Keepsakes.jpg,Patterns,4,3,8,0.00,0
100,Classic Cardigans,Uniquely Yours,Japanese Machines,,Machine knitting a basic cardigan in 19 different sizes with charting and detailed instructions. Easy to follow.,image15.jpg,"charting, Finishing, General Reference, Patterns, Techniques",10,7,6,5.00,1
183,Colorful Machine Knitting: Fairisle Motifs Intarsia,Harmony Guide," ",,,NULL," Fabric/Surface Design",7,2,4,0.00,0
4,Complete Book of Knitting,"Abbey, Barbara",General Knitting,https://amzn.to/3yfg9JE,,"Complete Book of Knitting, New York.jpg",General Reference,13,4,8,4.50,2
12,Creative Machine Knitting,"Elliott, Sally-Anne",Both Japanese and Passap Machines,https://amzn.to/3w0ofmU,"Containing patterns for more than 120 original stitches and fabrics and a collection of garments, this is a book for anyone interested in machine knitting.",creative_machine_knitting.jpg," Fabric/Surface Design, Patterns",22,3,10,4.33,3
41,Creative Machine Knitting,"Mendelson, Linda",Both Japanese and Passap Machines,https://amzn.to/3LFPqtz,Creative Machine Knitting explores the magical craft and the entire machine knitting process. Throughout the book are examples of beautiful and creative machine knitting.,creative_mking.jpg," Fabric/Surface Design",8,6,7,0.00,0
55,"Curves, Curves, Curves","Sweet, Norma",Both Japanese and Passap Machines,,,needs_image10.jpg,Patterns,6,2,3,0.00,0
31,Deep Cleaning Your Passaps,"Kaufman, Kristine",Passap,NULL,NULL,needs_image9.jpg,General Reference,7,3,2,0.00,0
120,Designer Machine Knitting,Vanessa Keegan,Both Japanese and Passap Machines,,"Stunningly beautiful timeless designs including styles for men, women and children - pullovers, vest, cardigans, and dresses. Complete with charts for each garment as well as beautiful illustrations. Adaptable to any knitting machine, punchcard or electronic or use with DAK.",image33.jpg," Fabric/Surface Design, charting, Finishing, General Reference, Patterns, Techniques",13,2,3,5.00,2
76,Designer Pencil Skirts for Machine Knitters (Digital),"Knit it Now, Sue Jalowiec",Both Japanese and Passap Machines,https://www.knititnow.com/store/product/524/designer-pencil-skirts-for-machine-knitters/digitialdownload,Machine knitters can quickly knit gorgeous skirts that rival designer styles in both price and custom fit! Master the tricks for professional finishes with this detailed book.,pencil_skirt.jpg,NULL,3,2,3,0.00,0
159,Designing Garments on the Knitting machine,Janet Nabney,General Knitting,https://amzn.to/3vJ30cD,"This books shows how easy it is to master pattern drafting for the knitting machine, by following logically from the basics through more elaborate techniques. Knitted fabrics can be draped, pleated, gathered. pattern drafting skills known to dressmakers for many years are now adapted for machine knitters so they can reproduce couture garments. Take accurate body measurements and analyze how a garment is constructed and produced.   There are also many basic pattern blocks and charted designs to get you going.",Designing Garments on the Knitting machine.jpg,"charting, General Reference, Patterns, Techniques",12,3,8,5.00,1
121,Double Bed Color Changer,Diane Bennet,Techniques,,This book is written for brother double bed colored changers and includes information for owners of punchcard and electronic machines.,image34.jpg,"General Reference, Machine Manual, Patterns, Techniques",5,3,6,0.00,0
115,Double-Bed Jacquard in Eight Easy Lessons,Jerry Ritthaler,Techniques,,"Learn double-bed jacquard the easy way -punchcard, electronics and DAK adaptable",image28.jpg,"Patterns, Techniques",4,4,6,0.00,0
