Homestudy_libraryid,HomeStudy_courseid_fk,Dateadded,Credit_id_fk,memberid_fk,Subscriberfree
2093,8,2015-02-17 00:00:00.000,56516,00659D62-96BE-06FE-789D-FC52A0A5407C,0
2094,8,2015-02-17 00:00:00.000,56522,8E143E58-9197-033B-1DA2-5177A7C865AE,0
2095,26,2015-02-17 00:00:00.000,56524,922288DE-C30E-D915-945A-57D6F3E441CC,0
2096,8,2015-02-17 00:00:00.000,56526,CBEE46C6-E450-923A-27CC-98D2A0A6B207,0
2097,8,2015-02-17 00:00:00.000,56529,0E60DFBC-A63D-A49D-8015-08C233858652,0
2098,32,2015-02-17 00:00:00.000,0,AAB8E822-A095-2674-8CC7-9403359EB37B,1
2099,8,2015-02-17 00:00:00.000,56537,67A030BE-BC81-258F-FE7A-9CB7DE4007BB,0
2100,8,2015-02-17 00:00:00.000,56543,92E54EED-CBBE-A6EB-6398-85B84F17B795,0
2101,1,2015-02-17 00:00:00.000,0,8CDE4334-9413-D159-E790-E9409FE13AC5,1
2102,6,2015-02-17 00:00:00.000,56553,BAE85773-C8B4-DFBA-65FD-70D94049E526,0
2103,32,2015-02-17 00:00:00.000,0,F2883E77-E4FC-F112-C7E3-DE17B7163888,1
2104,8,2015-02-17 00:00:00.000,56554,BFC324EF-B1D6-EE05-1CB9-FB95AB898FDD,0
2105,32,2015-02-18 00:00:00.000,0,415DA75E-9DFE-C316-D2B2-34F5F2F2CE48,1
2106,8,2015-02-18 00:00:00.000,56572,6E325B57-F7B7-137A-66D7-B06A00C71AC8,0
2107,34,2015-02-19 00:00:00.000,0,4DD879C0-AD5F-29B1-04C9-8682CBF2E5E7,1
2108,8,2015-02-19 00:00:00.000,56617,9DB406FB-FF70-3F64-F764-DC81716640C5,0
2109,34,2015-02-19 00:00:00.000,0,DF963195-E442-D0B7-D991-03D3EE5484C4,1
2110,1,2015-02-19 00:00:00.000,56631,85097B62-DAFF-1635-0819-24045BAF7B9D,0
2111,32,2015-02-19 00:00:00.000,0,AFFDC86F-B63F-AF5A-3AFA-0C24D54F94DA,1
2112,32,2015-02-20 00:00:00.000,0,73B9403F-DA4E-3641-A36C-7EBECDAA5E18,1
2113,7,2015-02-20 00:00:00.000,56671,DBC76118-F20F-B7DC-8CF6-3B0F843921F2,0
2114,8,2015-02-20 00:00:00.000,56672,4DD879C0-AD5F-29B1-04C9-8682CBF2E5E7,0
2115,8,2015-02-21 00:00:00.000,56742,A9003A7F-0916-420E-4471-214279CBD4C6,0
2116,34,2015-02-22 00:00:00.000,0,FB98DFE8-9B5D-A548-A7A5-BBEB135D1ECA,1
2117,34,2015-02-22 00:00:00.000,0,AFFDC86F-B63F-AF5A-3AFA-0C24D54F94DA,1
2118,32,2015-02-22 00:00:00.000,0,9DD47BEC-9C04-B5EB-B4EB-6083FABAB0A8,1
